C0000039	1,2-dipalmitoylphosphatidylcholine
C0000052	1,4-alpha-Glucan branching enzyme
C0000097	Methylphenyltetrahydropyridine
C0000102	1-naththylamine
C0000163	17-hydroxycorticosteroid
C0000167	17-ketosteroid
C0000172	18-hydroxycorticosterone
C0000215	2,4,5-trichlorophenoxyacetic acid
C0000220	2,4-dichlorophenoxyacetic acid
C0000246	2-acetolactate mutase
C0000248	2-acetamidofluorene
C0000257	Alpha-aminoadipic acid
C0000291	2-isopropylmalate synthase
C0000294	Mesna
C0000300	2-naphthylamine
C0000334	24,25-dihydroxyvitamin D3
C0000340	Calcidiol 1-monooxygenase
C0000343	25-hydroxy ergocalciferol
C0000359	3',5'-cyclic-nucleotide phosphodiesterase
C0000360	3',5'-cyclic-GMP phosphodiesterase
C0000370	3-3'dichlorobenzidine
C0000376	Dihydroxyphenylacetic acid
C0000378	Droxidopa
C0000379	Methylenedioxyamphetamine
C0000392	Beta alanine
C0000402	Meglutol
C0000435	3-oxoacyl-acyl-carrier-protein synthase
C0000473	Para-aminobenzoic acid-containing product
C0000477	4-Aminopyridine-containing product
C0000481	Gamma-butyrolactone
C0000500	4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
C0000503	4-hydroxybutyrate
C0000507	4-hydroxyphenylpyruvate dioxygenase
C0000530	Lymphocyte antigen CD73
C0000545	Eicosapentaenoic acid-containing product
C0000578	Oxitriptan
C0000598	Ticlopidine hydrochloride
C0000608	Aminocaproic acid-containing product
C0000618	Mercaptopurine-containing product
C0000658	8,11,14-eicosatrienoic acid
C0000665	Oxyquinoline
C0000714	Temephos
C0000722	Abbreviated injury scale
C0000723	Abbreviation
C0000726	Abdominal
C0000727	Acute abdomen
C0000731	Swollen abdomen
C0000734	Abdominal mass
C0000735	Neoplasm of abdomen
C0000737	Abdominal pain
C0000739	Skeletal muscle structure of abdomen
C0000741	Abducens nerve structure
C0000744	Abetalipoproteinemia
C0000754	Congenital abnormal fusion
C0000765	Excessive weight gain
C0000766	abnormal xray
C0000768	Congenital malformation
C0000771	Abnormalities, Drug-Induced
C0000774	Abnormality of secretion of gastrin
C0000778	ABO blood group system
C0000782	Abortifacient agent
C0000786	Miscarriage
C0000790	History of pregnancy with abortive outcome
