code,parent_code,name,level,description,indication,smiles,drugbank_id
A,,ALIMENTARY TRACT AND METABOLISM DRUGS,1.0,,,,
B,,BLOOD AND BLOOD FORMING ORGAN DRUGS,1.0,,,,
C,,CARDIOVASCULAR SYSTEM DRUGS,1.0,,,,
D,,DERMATOLOGICALS,1.0,,,,
G,,GENITO URINARY SYSTEM AND SEX HORMONES,1.0,,,,
H,,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",1.0,,,,
J,,ANTIINFECTIVES FOR SYSTEMIC USE,1.0,,,,
L,,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1.0,,,,
M,,MUSCULO-SKELETAL SYSTEM DRUGS,1.0,,,,
N,,NERVOUS SYSTEM DRUGS,1.0,,,,
P,,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1.0,,,,
R,,RESPIRATORY SYSTEM DRUGS,1.0,,,,
S,,SENSORY ORGAN DRUGS,1.0,,,,
V,,VARIOUS DRUG CLASSES IN ATC,1.0,,,,
A01,A,STOMATOLOGICAL PREPARATIONS,2.0,,,,
A02,A,DRUGS FOR ACID RELATED DISORDERS,2.0,,,,
A03,A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,2.0,,,,
A04,A,ANTIEMETICS AND ANTINAUSEANTS,2.0,,,,
A05,A,BILE AND LIVER THERAPY DRUGS,2.0,,,,
A06,A,DRUGS FOR CONSTIPATION,2.0,,,,
A07,A,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",2.0,,,,
A08,A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",2.0,,,,
A09,A,"DIGESTIVES, INCL. ENZYMES",2.0,,,,
A10,A,DRUGS USED IN DIABETES,2.0,,,,
A11,A,VITAMINS,2.0,,,,
A12,A,MINERAL SUPPLEMENTS,2.0,,,,
A13,A,TONICS,2.0,,,,
A14,A,ANABOLIC AGENTS FOR SYSTEMIC USE,2.0,,,,
A15,A,APPETITE STIMULANTS,2.0,,,,
A16,A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,2.0,,,,
B01,B,ANTITHROMBOTIC AGENTS,2.0,,,,
B02,B,ANTIHEMORRHAGICS,2.0,,,,
B03,B,ANTIANEMIC PREPARATIONS,2.0,,,,
B05,B,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,2.0,,,,
B06,B,OTHER HEMATOLOGICAL AGENTS in ATC,2.0,,,,
C01,C,CARDIAC THERAPY DRUGS,2.0,,,,
C02,C,ANTIHYPERTENSIVES,2.0,,,,
C03,C,DIURETICS,2.0,,,,
C04,C,PERIPHERAL VASODILATORS,2.0,,,,
C05,C,VASOPROTECTIVES,2.0,,,,
C07,C,beta-Adrenergic Blocking Agents,2.0,,,,
C08,C,CALCIUM CHANNEL BLOCKERS,2.0,,,,
C09,C,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,2.0,,,,
C10,C,LIPID MODIFYING AGENTS,2.0,,,,
D01,D,ANTIFUNGALS FOR DERMATOLOGICAL USE,2.0,,,,
D02,D,EMOLLIENTS AND PROTECTIVES,2.0,,,,
D03,D,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,2.0,,,,
D04,D,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",2.0,,,,
D05,D,ANTIPSORIATICS,2.0,,,,
D06,D,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,2.0,,,,
D07,D,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",2.0,,,,
D08,D,ANTISEPTICS AND DISINFECTANTS,2.0,,,,
D09,D,MEDICATED DRESSINGS,2.0,,,,
D10,D,ANTI-ACNE PREPARATIONS,2.0,,,,
D11,D,OTHER DERMATOLOGICAL PREPARATIONS in ATC,2.0,,,,
G01,G,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,2.0,,,,
G02,G,OTHER GYNECOLOGICALS in ATC,2.0,,,,
G03,G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,2.0,,,,
G04,G,UROLOGICALS,2.0,,,,
H01,H,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,2.0,,,,
H02,H,CORTICOSTEROIDS FOR SYSTEMIC USE,2.0,,,,
H03,H,THYROID THERAPY DRUGS,2.0,,,,
H04,H,PANCREATIC HORMONES,2.0,,,,
H05,H,CALCIUM HOMEOSTASIS,2.0,,,,
J01,J,ANTIBACTERIALS FOR SYSTEMIC USE,2.0,,,,
J02,J,ANTIMYCOTICS FOR SYSTEMIC USE,2.0,,,,
J04,J,ANTIMYCOBACTERIALS,2.0,,,,
J05,J,ANTIVIRALS FOR SYSTEMIC USE,2.0,,,,
J06,J,IMMUNE SERA AND IMMUNOGLOBULINS,2.0,,,,
J07,J,VACCINES,2.0,,,,
L01,L,ANTINEOPLASTIC AGENTS,2.0,,,,
L02,L,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,2.0,,,,
L03,L,IMMUNOSTIMULANTS,2.0,,,,
L04,L,IMMUNOSUPPRESSANTS,2.0,,,,
M01,M,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,2.0,,,,
M02,M,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,2.0,,,,
M03,M,MUSCLE RELAXANTS,2.0,,,,
M04,M,ANTIGOUT PREPARATIONS,2.0,,,,
M05,M,DRUGS FOR TREATMENT OF BONE DISEASES,2.0,,,,
M09,M,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,2.0,,,,
N01,N,ANESTHETICS,2.0,,,,
N02,N,ANALGESICS,2.0,,,,
N03,N,ANTIEPILEPTICS,2.0,,,,
N04,N,ANTI-PARKINSON DRUGS,2.0,,,,
N05,N,PSYCHOLEPTICS,2.0,,,,
N06,N,PSYCHOANALEPTICS,2.0,,,,
N07,N,OTHER NERVOUS SYSTEM DRUGS in ATC,2.0,,,,
P01,P,ANTIPROTOZOALS,2.0,,,,
P02,P,ANTHELMINTICS,2.0,,,,
P03,P,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",2.0,,,,
R01,R,NASAL PREPARATIONS,2.0,,,,
R02,R,THROAT PREPARATIONS,2.0,,,,
R03,R,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,2.0,,,,
R05,R,COUGH AND COLD PREPARATIONS,2.0,,,,
R06,R,ANTIHISTAMINES FOR SYSTEMIC USE,2.0,,,,
R07,R,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,2.0,,,,
S01,S,OPHTHALMOLOGICALS,2.0,,,,
S02,S,OTOLOGICALS,2.0,,,,
S03,S,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,2.0,,,,
V01,V,ALLERGENS,2.0,,,,
V03,V,ALL OTHER THERAPEUTIC PRODUCTS,2.0,,,,
V04,V,DIAGNOSTIC AGENTS,2.0,,,,
V06,V,GENERAL NUTRIENTS,2.0,,,,
V07,V,ALL OTHER NON-THERAPEUTIC PRODUCTS,2.0,,,,
V08,V,CONTRAST MEDIA,2.0,,,,
V09,V,DIAGNOSTIC RADIOPHARMACEUTICALS,2.0,,,,
V10,V,THERAPEUTIC RADIOPHARMACEUTICALS,2.0,,,,
V20,V,SURGICAL DRESSINGS,2.0,,,,
A01A,A01,STOMATOLOGICAL PREPARATIONS,3.0,,,,
A02A,A02,ANTACIDS,3.0,,,,
A02B,A02,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),3.0,,,,
A02X,A02,OTHER DRUGS FOR ACID RELATED DISORDERS in ATC,3.0,,,,
A03A,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,3.0,,,,
A03B,A03,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",3.0,,,,
A03C,A03,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,3.0,,,,
A03D,A03,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,3.0,,,,
A03E,A03,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,3.0,,,,
A03F,A03,PROPULSIVES,3.0,,,,
A04A,A04,ANTIEMETICS AND ANTINAUSEANTS,3.0,,,,
A05A,A05,BILE THERAPY DRUGS,3.0,,,,
A05B,A05,"LIVER THERAPY, LIPOTROPICS",3.0,,,,
A05C,A05,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,3.0,,,,
A06A,A06,DRUGS FOR CONSTIPATION,3.0,,,,
A07A,A07,INTESTINAL ANTIINFECTIVES,3.0,,,,
A07B,A07,INTESTINAL ADSORBENTS,3.0,,,,
A07C,A07,"ELECTROLYTES WITH CARBOHYDRATES, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",3.0,,,,
A07D,A07,ANTIPROPULSIVES,3.0,,,,
A07E,A07,INTESTINAL ANTIINFLAMMATORY AGENTS,3.0,,,,
A07F,A07,ANTIDIARRHEAL MICROORGANISMS,3.0,,,,
A07X,A07,OTHER ANTIDIARRHEALS in ATC,3.0,,,,
A08A,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",3.0,,,,
A09A,A09,"DIGESTIVES, INCL. ENZYMES",3.0,,,,
A10A,A10,INSULINS AND ANALOGUES,3.0,,,,
A10B,A10,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",3.0,,,,
A10X,A10,OTHER DRUGS USED IN DIABETES in ATC,3.0,,,,
A11A,A11,"MULTIVITAMINS, COMBINATIONS",3.0,,,,
A11B,A11,"MULTIVITAMINS, PLAIN",3.0,,,,
A11C,A11,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",3.0,,,,
A11D,A11,"VITAMIN B<n>1</n>, PLAIN AND IN COMBINATION WITH VITAMIN B<n>6</n> AND B<n>12</n>",3.0,,,,
